,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.1342060966156562,0.5215001641628989,0.16202318764798143,0.27693386563460753,0.17950923698321372,0.12239884399828073,0.12273610510589682,0.23031323145363133,0.12466146764904426,0.12897959511196838,0.22062873698788943,0.2268958619714582,0.3090108113621879,0.1757215295173474
1,MAR,0.3,0.16965861025441017,0.6289249780135414,0.20865409646713362,0.27409919835139407,0.26578351646346826,0.1804253665574833,0.2126577071150144,0.2725069309477551,0.1683917700778524,0.1833122146933758,0.25788276068502236,0.2715467206665995,0.43532916566885993,0.26349812397410644
2,MAR,0.5,0.18360781955132546,0.5983131420032689,0.2369180403514644,0.26967886914434475,0.28295883302343333,0.1905656899840577,0.21851617567579557,0.2751733846825041,0.2899233197353399,0.20305093474175434,0.25749804591958175,0.28111169757215526,0.41222689257629097,0.2817728611118952
3,MAR,0.7,0.1911379955606241,0.4728883853491391,0.25469000214124793,0.21309564830543248,0.27843499141774747,0.199370527764218,0.24765151786280332,0.2948454099307978,0.2352698309124514,0.20389349295771636,0.2770398689686379,0.3013015348096646,0.3864692143425973,0.2582206966923244
4,MCAR,0.1,0.1565690986893745,0.5213025725105228,0.21149445836404598,0.23743192133862265,0.225479805520618,0.1491507641430099,0.1893669349725692,0.24884685622806033,0.18526741967397084,0.15948707282067268,0.23575520582707402,0.2475355089896854,0.31268768337788516,0.22766338777532005
5,MCAR,0.3,0.23559403887880948,0.5200075644755674,0.20666772798122066,0.23952763327196774,0.24241155989391863,0.17043971214299364,0.1994221665955326,0.24684520971163812,0.19641005005620515,0.17165323888196868,0.2337627280322987,0.24648066100750998,0.32278844412628555,0.238453418787667
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.16587824879489027,0.5154425671044786,0.22036242084310956,0.23256058819316808,0.22505958187320385,0.1491671693941815,0.18339260254755196,0.24562921877922692,0.1746902489617754,0.15921102961292138,0.23086721916176303,0.24562967720566578,0.33757850604596756,0.22194027538271444
9,MNAR,0.3,0.20373648426541283,0.5103325557187458,0.21483768506171738,0.22588386416078046,0.24286169221120915,0.1720199442193123,0.1923605186084141,0.24477435992951604,0.17541180066059664,0.17411938151251458,0.22956769305768177,0.24775885812539508,0.3547809677360089,0.23975684348654394
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
