,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.9408499059559988,0.9302469229245666,0.9395345572900549,0.9409611316924711,0.9364748719022348,0.9414300247371669,0.9422215202617089,0.9367123953994663,0.9398893113816413,0.9404802310182492,0.9366614586554837,0.9365982841802337,0.9333869968775979,0.9379633186688657
1,MAR,0.3,0.9205263606517697,0.8821101466290234,0.9170949993087317,0.9208787614674095,0.9046210111732457,0.9230124326743663,0.9299221228667626,0.9031382893234378,0.912764836055549,0.9210598541066254,0.9082353342903735,0.9083231355334141,0.8963584723591281,0.9125065739733056
2,MAR,0.5,0.9402859732432722,0.9243370216895109,0.9347278744666259,0.9345031488901008,0.9295518731486104,0.9411347712506978,0.9409967734786256,0.935544572145621,0.934950731665347,0.9369884793457282,0.9363342843743159,0.9366962719323005,0.9363381618096593,0.9355831153634634
3,MAR,0.7,0.9381397399997217,0.9221740361869257,0.927754777317891,0.9242484295781467,0.9213658153353913,0.9355723388436787,0.9320298256697186,0.9263045070025326,0.9268006871294302,0.9274365079077519,0.9268523261680365,0.9265454574996174,0.9263601042989881,0.9270028114725789
4,MCAR,0.1,0.9363677372962975,0.9036260922857354,0.9317730574638444,0.9311980814258208,0.9267113678355938,0.9370065263620615,0.9368440558755201,0.9237730327702983,0.9347865795385212,0.9346323510607731,0.9249349955390189,0.9243327668451381,0.9182350080267497,0.9282048930082745
5,MCAR,0.3,0.8946703054427606,0.8427834774226983,0.9045616686719345,0.9048210174568249,0.8848833998944112,0.9158669488427369,0.9148667775042707,0.883742659161461,0.8991841768344928,0.9109735408422692,0.8912241369457531,0.8890916179700687,0.8746772586800027,0.8948643398131321
6,MCAR,0.5,0.8586282483184055,0.7725721905997768,0.8499347482595087,0.8505758701545777,0.8211628790389904,0.8835121478635518,0.8742576041737736,0.8345876127678109,0.847375942977056,0.8767966417948181,0.8531483734186714,0.845811711614595,0.8254563217405947,0.8513448283751023
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.9349426461727549,0.9054726058007462,0.9307470382007393,0.9336090880477499,0.9277925810589817,0.9384987208385832,0.937965419487136,0.9243049894781057,0.9345140473205561,0.9354842336508408,0.9260456039061634,0.9255667141109021,0.9184725744876528,0.9266084790793412
9,MNAR,0.3,0.9030485759725589,0.8377668051297295,0.8983602749301559,0.9011209470512427,0.8817198704818513,0.918664980335943,0.9149019923951558,0.8876062443740158,0.9033965174320928,0.9094209538624024,0.8950207205839371,0.890903680813483,0.8736670954429926,0.8966650349838569
10,MNAR,0.5,0.844738178781153,0.8022542139003289,0.802276983249653,0.8561018228200161,0.8095477898092426,0.8768146052132941,0.866840907902277,0.8311335296838606,0.8453797651621551,0.8665711705675089,0.846200368787206,0.8430566842627502,0.818581768070301,0.8444285567178724
11,MNAR,0.7,,,,,,,,,,,,,,
